abdruck,abdr
Abdruck,Abdr
abhandlung,abh
Abhandlung,Abh
abteilung,abt
Abteilung,Abt
äbtissin,äbt
Äbtissin,Äbt
allgemein,allg
allgemeine,allg
allgemeinem,allg
allgemeinen,allg
allgemeiner,allg
allgemeines,allg
anschließend,anschl
Anschließend,Anschl
August,Aug
begrab\.,begr
begraben,begr
begrabene,begr
begrabenem,begr
begrabenen,begr
begrabener,begr
begrabenes,begr
begründet,begr
beispielsweise,bspw
besondere,bes
besonderem,bes
besonderen,bes
besonderer,bes
besonderes,bes
besonders,bes
bischof,bf
Bischof,Bf
bistum,bm
Bistum,Bm
böhmisch,böhm
böhmische,böhm
böhmischem,böhm
böhmischen,böhm
böhmischer,böhm
böhmisches,böhm
burggraf,bgf
Burggraf,Bgf
burggräfin,bgf\.in
burggräflich,bgfl
burggrafschaft,bgft
Burggrafschaft,Bgft
circa,ca
dasgleiche,dgl
das heißt,d\.h
dasselbe,dass
datiert,dat
dem Älteren,d\.Ä
demgleichen,dgl
dem Jüngeren,d\.J
demselben,dems
den Älteren,d\.Ä
dengleichen,dgl
den Jüngeren,d\.J
denselben,dens
der Ältere,d\.Ä
der Älteren,d\.JÄ
dergleichen,dgl
der Jüngere,d\.J
der Jüngeren,d\.J
derselbe,ders
derselben,ders
des Älteren,d\.Ä
desgleichen,dgl
des Jüngeren,d\.J
desselben,dess
deutsch,dt
deutsche,dt
deutschem,dt
deutschen,dt
deutscher,dt
deutsches,dt
Deutschland,Dtl
Deutschlands,Dtl\.s
Dezember,Dez
die Ältere,d\.Ä
die Älteren,d\.Ä
diegleiche,dgl
diegleichen,dgl
die Jüngere,d\.J
die Jüngeren,d\.J
dieselbe,dies
dieselben,dies
diözese,diöz
Diözese,Diöz
ebenda,ebd
ehemalige,ehem
ehemalig,ehem
ehemaligem,ehem
ehemaligen,ehem
ehemaliger,ehem
ehemaliges,ehem
ehemals,ehem
eigentliche,eigtl
eigentlich,eigtl
eigentlichem,eigtl
eigentlichen,eigtl
eigentlicher,eigtl
eigentliches,eigtl
einwohner,einw
Einwohner,Einw
einwöhner,einw
entsprechende,entspr
entsprechendem,entspr
entsprechenden,entspr
entsprechend,entspr
entsprechender,entspr
entsprechendes,entspr
erzbischof,ebf
Erzbischof,Ebf
erzbischöf,ebf
Erzbischöfe,Ebf
Erzbischofes,Ebf
erzbistum,ebm
Erzbistum,Ebm
erzbistüm,ebm
Erzbistümer,Ebm
Erzherzoge,Ehzg
erzherzog,ehzg
Erzherzog,Ehzg
erzherzög,ehzg
erzherzogin,ehzg\.in
erzherzoglich,hzgl
erzherzöglich,hzgl
erzherzogtum,ehzm
Erzherzogtum,Ehzm
erzherzogtüm,ehzm
Erzherzogtümer,Ehzm
europäische,europ
europäischem,europ
europäischen,europ
europäischer,europ
europäisches,europ
europäisch,europ
eventuelle,evtl
eventuellem,evtl
eventuellen,evtl
eventueller,evtl
eventuelles,evtl
eventuell,evtl
Februar,Febr
fortgesetzte,fortges
fortgesetztem,fortges
fortgesetzten,fortges
fortgesetzter,fortges
fortgesetztes,fortges
fortgesetzt,fortges
fragment,frgm
Fragment,Frgm
französische,frz
französischem,frz
französischen,frz
französischer,frz
französisches,frz
französisch,frz
freifrau,frfr
Freifrau,Frfr
freigraf,fgf
freigräfin,fgf\.in
freigräflich,fgfl
freigrafschaft,fgft
Freigrafschaft,Fgft
Freiherren,Frh\.en
freiherr,frh
Freiherr,Frh
fürstentum,fsm
Fürstentum,Fsm
fürst,fs
Fürst,Fs
Fürstin,Fs\.in
fürstlich,fsl
geborene,geb
geborenem,geb
geborenen,geb
geborener,geb
geborenes,geb
geboren,geb
gebor\.,geb
gegebenenfalls,ggf
gegründete,gegr
gegründetem,gegr
gegründeten,gegr
gegründeter,gegr
gegründetes,gegr
gegründet,gegr
genannte,gen
genanntem,gen
genannten,gen
genannter,gen
genanntes,gen
genannt,gen
geographische,geogr
geographischem,geogr
geographischen,geogr
geographischer,geogr
geographisches,geogr
geographisch,geogr
gestorbene,gest
gestorbenem,gest
gestorbenen,gest
gestorbener,gest
gestorbenes,gest
gestorben,gest
graf,gf
Graf,Gf
gräfin,gf\.in
Gräfin,Gf\.in
gräflich,gfl
Grafschaften,Gft\.en
grafschaft,gft
Grafschaft,Gft
grundriß,grdr
Grundriß,Grdr
Herzöge,Hzg\.e
Herzögen,Hzg\.en
herzog,hzg
Herzog,Hzg
herzög,hzg
herzogin,hzg\.in
Herzogin,Hzg\.in
herzogl\.,hzgl
herzoglich,hzgl
herzöglich,hzgl
Herzogs,Hzg\.s
herzogtum,hzm
Herzogtum,Hzm
herzogtüm,hzm
Herzogtüm,Hzm
Hochmittelalter,HochMA
im Jahre,i\.J
im Jahr,i\.J
insbesondere,insbes
italienische,ital
italienischem,ital
italienischen,ital
italienischer,ital
italienisches,ital
italienisch,ital
jahrhundert,jh
Jahrhundert,Jh
jährliche,jährl
jährlichem,jährl
jährlichen,jährl
jährlicher,jährl
jährliches,jährl
jährlich,jährl
Januar,Jan
kaiserin,ks\.in
Kaiserin,Ks\.in
kaiser,ks
Kaiser,Ks
kaiserlich,ksl
kaiserreich,ksr
Kaiserreich,Ksr
kaisertum,ksm
Kaisertum,Ksm
kardinal,kard
Kardinal,Kard
kloster,kl
Kloster,Kl
klöster,kl
Klöster,Kl
könig,kg
König,Kg
königlich,kgl
königreich,kgr
Königreich,Kgr
königtum,kgtm
Königtum,Kgtm
künstlerische,künstl
künstlerischem,künstl
künstlerischen,künstl
künstlerischer,künstl
künstlerisches,künstl
künstlerisch,künstl
kurfürst,kfs
Kurfürst,Kfs
kurfürstlich,kfsl
landgräfin,lgf\.in
landgraf,lgf
Landgraf,Lgf
landgräflich,landgfl 
landgräflich,landgfl
landgrafschaft,lgft
Landgrafschaft,Lgft
lateinische,lat
lateinischem,lat
lateinischen,lat
lateinischer,lat
lateinisches,lat
lateinisch,lat
laut,lt
Laut,Lt
Lexikon des Mittelalters,LexMA
mährische,mähr
mährischem,mähr
mährischen,mähr
mährischer,mähr
mährisches,mähr
mährisch,mähr
markgräfin,mgf\.in
Markgräfin,Mgf\.in
markgräflich,mgfl
markgraf,mgf
Markgraf,Mgf
markgrafschaft,mgft
Markgrafschaft,Mgft
maximal,max
militärische,milit
militärischem,milit
militärischen,milit
militärischer,milit
militärisches,milit
militärisch,milit
militär\.,milit
Millionen,Mio
mindestens,mind
mittelalterliche,ma
mittelalterlichem,ma
mittelalterlichen,ma
mittelalterlicher,ma
mittelalterliches,ma
mittelalterlich,ma
mittelalterl\.,ma
Mittelalter,MA
Mittelalters,MA
mitteldeutsche,md
mitteldeutschem,md
mitteldeutschen,md
mitteldeutscher,md
mitteldeutsches,md
mitteldeutsch,md
mittelhochdeutsche,mhd
mittelhochdeutschem,mhd
mittelhochdeutschen,mhd
mittelhochdeutscher,mhd
mittelhochdeutsches,mhd
mittelhochdeutsch,mhd
mittelniederdeutschem,mnd
mittelniederdeutsche,mnd
mittelniederdeutschen,mnd
mittelniederdeutscher,mnd
mittelniederdeutsches,mnd
mittelniederdeutsch,mnd
möglicherweise,möglicherw
nach Christus,n\.Chr
niederdeutschem,nd
niederdeutsche,nd
niederdeutschen,nd
niederdeutscher,nd
niederdeutsches,nd
niederdeutsch,nd
niederländischem,ndl
niederländische,ndl
niederländischen,ndl
niederländischer,ndl
niederländisches,ndl
niederländisch,ndl
November,Nov
oberdeutschem,obdt
oberdeutschen,obdt
oberdeutsche,obdt
oberdeutscher,obdt
oberdeutsches,obdt
oberdeutsch,obdt
Oktober,Okt
österreichischem,österr
österreichischen,österr
österreichische,österr
österreichischer,österr
österreichisches,österr
österreichisch,österr
pfalzgräfin,pfgf\.in
Pfalzgräfin,Pfgf\.in
pfalzgräflich,pfgfl
pfalzgraf,pfgf
Pfalzgraf,Pfgf
pfalzgrafschaft,pfgft
Pfalzgrafschaft,Pfgft
polnischem,poln
polnischen,poln
polnische,poln
polnischer,poln
polnisches,poln
polnisch,poln
privatem,priv
privaten,priv
private,priv
privater,priv
privates,priv
privat,priv
residenz,res
residenz,res\. 
residenz\.,res
Residenz,Res\. 
Residenz\.,Res
schlesischem,schles
schlesischen,schles
schlesischer,schles
schlesische,schles
schlesisches,schles
schlesisch,schles
schweizerischem,schweiz
schweizerischen,schweiz
schweizerischer,schweiz
schweizerische,schweiz
schweizerisches,schweiz
schweizerisch,schweiz
September,Sept
sogenanntem,sog
sogenannten,sog
sogenannter,sog
sogenannte,sog
sogenanntes,sog
sogenannt,sog
spanischem,span
spanischen,span
spanischer,span
spanische,span
spanisches,span
spanisch,span
tausend,tsd
Tausend,Tsd
teilweise,teilw
tschechischem,tsch
tschechischen,tsch
tschechischer,tsch
tschechisches,tsch
tschechische,tsch
tschechisch,tsch
umfangreichem,umfangr
umfangreichen,umfangr
umfangreicher,umfangr
umfangreiches,umfangr
umfangreiche,umfangr
umfangreich,umfangr
unabhängigem,unabh
unabhängigen,unabh
unabhängiger,unabh
unabhängiges,unabh
unabhängige,unabh
unabhängig,unabh
und anderswo,u\.a
und öfter,u\.ö
und so weiter,usw
unter anderem,u\.a
unter anderen,u\.a
unter Umständen,u\.U
unverändertem,unv
unveränderten,unv
unveränderter,unv
unverändertes,unv
unveränderte,unv
unverändert,unv
unvollständigem,unvollst
unvollständigen,unvollst
unvollständiger,unvollst
unvollständiges,unvollst
unvollständige,unvollst
unvollständig,unvollst
Urkundenbuch,UB
Urkunden,Urk
urkunden,urk\.en
urkunde,urk
Urkunde,Urk
ursprünglichem,ursprgl
ursprünglichen,ursprgl
ursprünglicher,ursprgl
ursprüngliches,ursprgl
ursprüngliche,ursprgl
ursprünglich,ursprgl
urspünglich,ursprgl
u\.,und 
vergleiche,vgl
verheiratetem,verh
verheirateten,verh
verheirateter,verh
verheiratetes,verh
verheiratete,verh
verheiratet,verh
verheir\.,verh
vielleicht,viell
vizegräfin,vgf\.in
vizegräflich,vgfl
vizegrafschaft,vgft
Vizegrafschaft,Vgft
vizegraf,vgf
Vizegraf,Vgf
vor allem, v\.a
v\.,von 
wegen,wg
Westen,W
wittelsbachischem,wittelsb
wittelsbachischen,wittelsb
wittelsbachischer,wittelsb
wittelsbachisches,wittelsb
wittelsbachische,wittelsb
wittelsbachisch,wittelsb
Witwe,Wwe
württembergischem,württ
württembergischen,württ
württembergischer,württ
württembergisches,württ
württembergische,württ
württembergisch,württ
zahlreichem,zahlr
zahlreichen,zahlr
zahlreicher,zahlr
zahlreiches,zahlr
zahlreiche,zahlr
zahlreich,zahlr
zeitgleich,zeitgl
zeitweise,zeitw
zugleich,zugl
